name,discogs_id,url,profile,genres,styles,releases_count,top_releases,source
The Blues Brothers,254441,https://www.discogs.com/artist/254441-The-Blues-Brothers,"American Rhythm & Blues duo, founded in 1978 by comedians [a=John Belushi] and [a=Dan Aykroyd]. As the characters [a=Joliet Jake Blues] and [a=Elwood Blues], Belushi and Aykroyd performed as the lead vocalist and harpist/vocalist, respectively. In character, they were the frontmen for [a=The Blues Brothers Band] which was composed of renowned musicians. The band made its debut as the musical guest on the April 22, 1978 episode of Saturday Night Live. With the help of pianist-arranger [a=Paul Shaffer], Belushi and Aykroyd started assembling a collection of studio talents to form their own band. These artists included saxophonist [a=Lou Marini] and trombonist-saxophonist [a=Tom Malone], who had previously played in [a=Blood, Sweat And Tears]. In addition, guitarist [a=Steve Cropper] and bassist [a=Donald ""Duck"" Dunn], from [a=Booker T & The MG's] were signed as well. Over time, additional artists such as trumpeter [a=Alan Rubin], guitarist [a=Matt Murphy], drummer [a=Willie Hall] and keyboardist [a=Murphy Dunne] have performed with the band. After Belushi’s death in 1982, the Blues Brothers Band has continued to perform with a rotation of guest singers and other band members.",[],[],0,"[{""title"": ""Drop The Needle On The Hits: The Best Of The Blues Brothers"", ""year"": 2017, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""An Introduction To Blues Brothers"", ""year"": 2017, ""type"": ""master"", ""role"": ""Main""}, {""title"": ""American Music Legends"", ""year"": 2008, ""type"": ""release"", ""role"": ""Main""}]",Discogs
Junior Wells' Chicago Blues Band,2284620,https://www.discogs.com/artist/2284620-Junior-Wells-Chicago-Blues-Band,,[],[],0,"[{""title"": ""Hoodoo Man Blues"", ""year"": 1965, ""type"": ""master"", ""role"": ""Main""}, {""title"": ""The Best Of The Chicago Blues"", ""year"": 1970, ""type"": ""master"", ""role"": ""Appearance""}, {""title"": ""The Hitman's Bodyguard (Original Motion Picture Soundtrack)"", ""year"": 2017, ""type"": ""master"", ""role"": ""TrackAppearance""}]",Discogs
Rory Gallagher,373460,https://www.discogs.com/artist/373460-Rory-Gallagher,"Irish guitarist and songwriter (born 2nd March, 1948, Ballyshannon, Co. Donegal - died 14th June, 1995, London). One of the most influential guitarists of all times, Gallagher refused to release singles or music videos and turned down the opportunity to join [a=The Rolling Stones] in the 1970s. He became ill on tour in the Netherlands and later died in London due to complications arising from a liver transplant.

Band line-up
In addition to Gallagher himself (on guitar and vocals), over the years Gallagher's band included:
-
1971–1972: [a=Gerry McAvoy] (bass), [a=Wilgar Campbell] (drums).
1972–1978: Gerry McAvoy (bass), [a=Lou Martin] (keyboards), [a=Rod de'Ath] (drums).
1978–1981: Gerry McAvoy (bass), [a=Ted McKenna] (drums).
1981–1991: Gerry McAvoy (bass), [a=Brendan O'Neill] (drums) + frequent guest: [a=Mark Feltham] (harmonica).
1992–1994: [a=David Levy] (bass), [a=Jim Leverton] (keyboards), [a=John Cooke] (keyboards), [a=Richard Newman] (drums) and frequent guest [a=Mark Feltham] (harmonica).",[],[],0,"[{""title"": ""The BBC Collection"", ""year"": 2024, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""The Best Of Rory Gallagher At The BBC"", ""year"": 2024, ""type"": ""master"", ""role"": ""Main""}, {""title"": ""All Around Man (Live In London)"", ""year"": 2023, ""type"": ""master"", ""role"": ""Main""}]",Discogs
Jack Rose,247379,https://www.discogs.com/artist/247379-Jack-Rose,"(February 16, 1971 - December 5, 2009) was an American guitarist originally from Virginia and later based in Philadelphia, Pennsylvania. A founding member of the drone/noise band Pelt, Rose is best known for his solo acoustic guitar work.",[],[],0,"[{""title"": ""Live at Routure"", ""year"": 2021, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""Unrock Series - 12.11.2009"", ""year"": 2010, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""The Things That We Used To Do"", ""year"": 2010, ""type"": ""release"", ""role"": ""Main""}]",Discogs
Eric Clapton,17827,https://www.discogs.com/artist/17827-Eric-Clapton,"Prolific English blues-rock guitarist, singer, songwriter/composer, and producer, affectionately known as ""Slow Hand"". Born 30 March, 1945 in Ripley, Surrey, England, UK.

Early career timeline:
[a=The Yardbirds] October 1963-March 1965.
[a=John Mayall & The Bluesbreakers] April 1965-June 1965; October 1965-July 1966.
[a=Eric Clapton And The Powerhouse] March 1966.
[a=Cream (2)] July 1966-May 1968.
[a=Blind Faith (2)] 8 February 1969-August 1969.
[a=Derek & The Dominos] Spring 1970-1971

His holding company was [l267110] from 20 October 1967 to 6 November 2018.
Recipient of eighteen Grammy, four Ivor Novello awards, and the Brit Award for Outstanding Contribution to Music.
Three times inducted into Rock And Roll Hall of Fame in 2000 (Solo artist, Performer with [a=The Yardbirds], Performer with [a=Cream (2)]). Inducted into Songwriters Hall of Fame in 2001.
Received the Order of the British Empire (CBE-Commander) in 2004.
Son of [a=Patricia Molly Clapton] but he was raised by her mother [a=Rose Clapp] after giving birth at age sixteen. His partner from late 1960s to 1974 was [a=Alice (58)]. Married to [a1401442] from 27 March 1979 (in Tucson, AZ, USA) to 1989. In 1984, he began a relationship with [a=Yvonne Kelly]. Although they were married to other partners at the time, they had a daughter together, [a=Ruth Kelly-Clapton] (born in January 1985); her existence was kept from the public until the media realised she was his child in 1991. He had an affair with Italian model [a=Lorry Dal Santo] who gave birth to their son, Conor (21 August 1986 - 20 March 1991). He married [a=Melia Clapton] (née McEnery) on 1 January 2002 in his birthplace; together they have three daughters, [a=Julie Clapton], [a=Ella Clapton], and [a=Sophie Clapton].",[],[],0,"[{""title"": ""To Save A Child (An Intimate Live Concert)"", ""year"": 2024, ""type"": ""master"", ""role"": ""Main""}, {""title"": ""Meanwhile"", ""year"": 2024, ""type"": ""master"", ""role"": ""Main""}, {""title"": ""The Complete Reprise Studio Albums \u25cf Volume II"", ""year"": 2023, ""type"": ""release"", ""role"": ""Main""}]",Discogs
The Paul Butterfield Blues Band,437880,https://www.discogs.com/artist/437880-The-Paul-Butterfield-Blues-Band,"US American blues rock band, formed in 1963 by [a=Paul Butterfield].",[],[],0,"[{""title"": ""Live At Woodstock"", ""year"": 2020, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""At The Maintenance Shop (Iowa State University '85 PBS Broadcast)"", ""year"": 2020, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""Born In Chicago / Live 1966"", ""year"": 2018, ""type"": ""release"", ""role"": ""Main""}]",Discogs
John Mayall,291340,https://www.discogs.com/artist/291340-John-Mayall,"John Mayall, OBE (Most Excellent Order of the British Empire) (born November 29, 1933 in Macclesfield, Cheshire, England - died July 22, 2024 at his California home in USA) was an English blues singer, guitarist, organist and songwriter, whose musical career spanned over almost 70 years.

He is the brother of [a1581587] and former spouse of [a941621].",[],[],0,"[{""title"": ""Through The Years Live 60's To 80's"", ""year"": 2024, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""Live In France 1967-73"", ""year"": 2023, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""The Sun Is Shining Down"", ""year"": 2022, ""type"": ""master"", ""role"": ""Main""}]",Discogs
Pappo's Blues,2065651,https://www.discogs.com/artist/2065651-Pappos-Blues,"Argentinian Blues-rock band from the 70s founded by [a=Norberto Napolitano], better known as [a=Pappo]. After playing in the late 60s with [a1009760] , [i]Engranaje[/i] and [i]Pistola[/i], pushed by producer [a=Jorge Álvarez], he finally formed his own group, [a=Pappo's Blues], with [a=David Lebon] on bass and [a=Black Amaya] on drums. He released [b]Pappo's Blues[/b] later that year.

The formation of the band changes constantly. On 1972 he releases [b]Pappo's Blues Volúmen 2[/b], Pappo is joined by [a=Luis Gambolini] and [a=Black Amaya] on drums and [i]Carlos Piñata[/i] on bass, among others.

On 1973, with the release of [b]Volúmen 3[/b] the formation shifts completely with the participation of [a=Machi rufino] on bass and vocals and [a=Pomo Lorenzo] on drums.

He released [b]Volúmen 4[/b] the same year with the return of [a=David Lebon] and [a=Black Amaya], plus [a=Alejandro Medina] on bass and [a=Isa Portugheis] on percussion.

He would proceed to release [b]Triangulo[/b] on 1975 with [a=Eduardo Beaudoux] on bass and vocals and [i]Eduardo Garbagnati[/i] drums. Later, the group disbanded and Pappo traveled to Europe.

The same year he released [b]Volúmen 6[/b] with [i]Enrique Díaz[/i] on bass and [a=Isa Portugheis] on drums. It was released with leftover recording from Triangulo, and considered extremely short and became the most obscure LP of Pappo's Blues.

He returned on 1977 and reformed Pappo's Blues with [a=Conejo Jolivet] on guitar, [i]Julio Canda[/i] on bass and [i]Marcelo Pucci[/i] on drums. They would buy a bus and tour through all the nation. On 1978 he released [b]Volúmen 7[/b] with [a=Alejandro Medina] on bass and [a=Darío Fernández (2)] on drums.

On 1979, the group would take a brief Hiatus, were Pappo would experiment with another band, [a=Aeroblus], with greater emphasis on hard rock and Heavy Metal.
The experiment took off, and with more ideas on his mind, he reunited Pappo's Blues one last time to start a tour called [i]Adios Pappo's Blues, hola [a=Riff (3)][/i] ([i]Goodbye Pappo's Blues, hello Riff[/i]).

At the end of the 80s he disbanded Riff and traveled to [i]Los Angeles[/i], returning and touring though South America with an American band, [i]Widowmakers[/i]. The band disbanded after ending the tour.

He reunited Pappo's Blues and Riff on 1991 and would shift between the two from time to time. On 1995 he released [b]Volumen 8, Caso Cerrado[/b] ([i]Volumen 8, Case closed[/i]) and on 1999 [b]El Auto Rojo[/b] with [a=Yulie Ruth] and [a=Gustavo ""Bolsa"" González]. This would be the last formation until the final disbandment. Pappo would keep working on both projects until his death in 2005.

Discography:
1971 - Pappo's Blues (Music Hall 2254)
1972 - Volúmen 2 (Music Hall 12032)
1973 - Volúmen 3 (Music Hall 2389)
1973 - Volúmen 4 (Music Hall 13053)
1974 - Volumen 5, Triángulo (Music Hall 14109)
1975 - Volúmen 6 (Music Hall 13102)
1978 - Volúmen 7 (Music Hall 11391) 
1995 - Pappo's Blues Volumen 8, Caso cerrado
1999 - El auto rojo
",[],[],0,"[{""title"": ""P"", ""year"": 2008, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""Tren de Las 16"", ""year"": 2000, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""Con El Blues En la Sangre - 40 Obras Fundamentales"", ""year"": 2000, ""type"": ""release"", ""role"": ""Main""}]",Discogs
The Jimmy Rogers All-Stars,2607173,https://www.discogs.com/artist/2607173-The-Jimmy-Rogers-All-Stars,,[],[],0,"[{""title"": ""Blues Blues Blues"", ""year"": 1999, ""type"": ""master"", ""role"": ""Main""}, {""title"": ""With Friends "", ""year"": 2007, ""type"": ""release"", ""role"": ""Appearance""}, {""title"": ""Masters Del Pop Y Del Rock 15"", ""year"": 2001, ""type"": ""release"", ""role"": ""TrackAppearance""}]",Discogs
Gary Moore,208220,https://www.discogs.com/artist/208220-Gary-Moore,"Irish blues and rock guitarist born in Belfast, Northern Ireland, UK on April 4, 1952, moved to Dublin at the age of 16 - died February 6, 2011 Estepona, Malaga Province, Spain.
Was also a member of the [a2229067] in 1981 and 1983.",[],[],0,"[{""title"": ""The Sanctuary Years (1999-2004)"", ""year"": 2023, ""type"": ""release"", ""role"": ""Main""}, {""title"": ""How Blue Can You Get"", ""year"": 2021, ""type"": ""master"", ""role"": ""Main""}, {""title"": ""Parisienne Walkways: The Collection"", ""year"": 2020, ""type"": ""release"", ""role"": ""Main""}]",Discogs
